input_name,consensus_name,blast_hit_n,cons_MSA_seq_n,cons_full_blast_n,input_length,cons_length,input_TE_type,reclassified_type,terminal_repeat,low_copy,evaluation,status
rnd_1_family_283,rnd_1_family_283,1122,37.0,65.0,4612,4593,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_283,rnd_1_family_283_01,1122,12.0,71.0,4612,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_483,rnd_1_family_483,1117,39.0,66.0,4593,4585,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_483,rnd_1_family_483_01,1117,11.0,71.0,4593,4573,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_10,rnd_1_family_10,1117,39.0,66.0,4592,4584,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_10,rnd_1_family_10_01,1117,11.0,71.0,4592,4573,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_495,rnd_1_family_495,1117,39.0,66.0,4593,4576,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_495,rnd_1_family_495_01,1117,11.0,71.0,4593,4573,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_379,rnd_1_family_379,1117,39.0,66.0,4592,4584,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_379,rnd_1_family_379_01,1117,11.0,71.0,4592,4573,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_4_family_677,rnd_4_family_677,87,31.0,6.0,5408,5382,LINE/I,LINE/I,False,False,Reco_check,processed
rnd_4_family_677,rnd_4_family_677_01,87,11.0,2.0,5408,4894,LINE/I,LINE/I,False,False,Need_check,processed
rnd_1_family_105,rnd_1_family_105,1123,38.0,66.0,4611,4577,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_105,rnd_1_family_105_01,1123,12.0,71.0,4611,4587,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_234,rnd_1_family_234,139,28.0,37.0,1673,1664,DNA/TcMar-Tc1,DNA/TcMar-Tc1,TIR,False,Good,processed
rnd_1_family_234,rnd_1_family_234_01,139,14.0,37.0,1673,1658,DNA/TcMar-Tc1,DNA/TcMar-Tc1,TIR,False,Good,processed
rnd_4_family_2654,rnd_4_family_2654,20,17.0,0.0,2092,5384,LINE/R1,LINE/R1,False,False,Need_check,processed
rnd_1_family_380,rnd_1_family_380,3858,49.0,43.0,1321,1296,DNA/CMC-Transib,DNA/CMC-Transib,False,False,Reco_check,processed
rnd_1_family_44,rnd_1_family_44,837,50.0,34.0,5519,5519,LINE/R1-LOA,LINE/R1-LOA,False,False,Reco_check,processed
rnd_1_family_44,rnd_1_family_44_01,837,29.0,46.0,5519,5511,LINE/R1-LOA,LINE/R1-LOA,False,False,Reco_check,processed
rnd_1_family_73,rnd_1_family_73,1120,38.0,65.0,4595,4594,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_73,rnd_1_family_73_01,1120,12.0,71.0,4595,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_37,rnd_1_family_37,1117,39.0,66.0,4593,4576,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_37,rnd_1_family_37_01,1117,11.0,71.0,4593,4573,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_4_family_10,rnd_4_family_10,1120,38.0,65.0,4595,4594,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_4_family_10,rnd_4_family_10_01,1120,12.0,71.0,4595,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_4_family_2096,rnd_4_family_2096,1117,39.0,66.0,4593,4582,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_4_family_2096,rnd_4_family_2096_01,1117,11.0,71.0,4593,4573,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_4_family_2095,rnd_4_family_2095,1120,38.0,65.0,4595,4594,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_4_family_2095,rnd_4_family_2095_01,1120,12.0,71.0,4595,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_3_family_303,rnd_3_family_303,1117,39.0,66.0,4592,4576,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_3_family_303,rnd_3_family_303_01,1117,11.0,71.0,4592,4573,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_281,rnd_1_family_281,93,31.0,1.0,6025,5936,LTR/Gypsy,LTR/Gypsy,LTR,False,Need_check,processed
rnd_1_family_281,rnd_1_family_281_01,93,25.0,20.0,6025,5368,LTR/Gypsy,LTR/Gypsy,LTR,False,Good,processed
rnd_4_family_2401,rnd_4_family_2401,88,31.0,6.0,5408,5382,LINE/I,LINE/I,False,False,Reco_check,processed
rnd_4_family_2401,rnd_4_family_2401_01,88,11.0,2.0,5408,4894,LINE/I,LINE/I,False,False,Need_check,processed
rnd_1_family_31,rnd_1_family_31,834,50.0,34.0,5517,5519,LINE/R1-LOA,LINE/R1-LOA,False,False,Reco_check,processed
rnd_1_family_31,rnd_1_family_31_01,834,29.0,46.0,5517,5526,LINE/R1-LOA,LINE/R1-LOA,False,False,Reco_check,processed
rnd_1_family_60,rnd_1_family_60,115,98.0,15.0,4686,4653,LINE/L2,LINE/L2,False,False,Reco_check,processed
rnd_1_family_5,rnd_1_family_5,840,48.0,34.0,5510,5520,LINE/R1-LOA,LINE/R1-LOA,False,False,Reco_check,processed
rnd_1_family_5,rnd_1_family_5_01,840,30.0,46.0,5510,5510,LINE/R1-LOA,LINE/R1-LOA,False,False,Reco_check,processed
rnd_4_family_2976,rnd_4_family_2976,88,31.0,6.0,5408,5382,LINE/I,LINE/I,False,False,Reco_check,processed
rnd_4_family_2976,rnd_4_family_2976_01,88,11.0,2.0,5408,4894,LINE/I,LINE/I,False,False,Need_check,processed
rnd_1_family_119,rnd_1_family_119,9,NaN,NaN,476,476,Satellite,Satellite,False,False,NaN,skipped
rnd_1_family_109,rnd_1_family_109,244,24.0,107.0,397,383,Unknown,DNA/P,False,False,Reco_check,processed
rnd_1_family_109,rnd_1_family_109_01,244,13.0,124.0,397,367,Unknown,DNA/P,False,False,Need_check,processed
rnd_4_family_818,rnd_4_family_818,1117,39.0,66.0,4590,4576,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_4_family_818,rnd_4_family_818_01,1117,11.0,71.0,4590,4573,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_0,rnd_1_family_0,10844,83.0,561.0,1190,1181,RC/Helitron,RC/Helitron,False,False,Reco_check,processed
rnd_1_family_111,rnd_1_family_111,93,90.0,83.0,206,192,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_112,rnd_1_family_112,53,31.0,0.0,392,1106,Unknown,DNA/TcMar-Tc1,False,False,Need_check,processed
rnd_5_family_516,rnd_5_family_516,1120,38.0,65.0,4595,4594,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_5_family_516,rnd_5_family_516_01,1120,12.0,71.0,4595,4577,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_124,rnd_1_family_124,103,24.0,29.0,1070,1056,DNA/CMC-Transib,DNA/CMC-Transib,False,False,Reco_check,processed
rnd_1_family_124,rnd_1_family_124_01,103,16.0,29.0,1070,1055,DNA/CMC-Transib,DNA/CMC-Transib,False,False,Need_check,processed
rnd_1_family_12,rnd_1_family_12,257,26.0,33.0,385,369,Unknown,DNA/hAT-Charlie,False,False,Reco_check,processed
rnd_1_family_102,rnd_1_family_102,133,71.0,44.0,587,568,Unknown,LINE/R1,False,False,Reco_check,processed
rnd_1_family_220,rnd_1_family_220,116,87.0,18.0,4482,4439,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_122,rnd_1_family_122,205,100.0,0.0,426,388,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_98,rnd_1_family_98,212,99.0,1.0,4972,4795,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_216,rnd_1_family_216,116,87.0,18.0,4482,4439,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_13,rnd_1_family_13,871,92.0,328.0,671,647,Unknown,LTR/Pao,False,False,Reco_check,processed
rnd_1_family_120,rnd_1_family_120,112,97.0,6.0,616,416,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_155,rnd_1_family_155,80,36.0,30.0,256,184,Unknown,LTR/Gypsy,False,False,Reco_check,processed
rnd_1_family_14,rnd_1_family_14,733,27.0,102.0,1179,1141,DNA/PIF-Harbinger,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_14,rnd_1_family_14_01,733,15.0,89.0,1179,1132,DNA/PIF-Harbinger,DNA/PIF-Harbinger,False,False,Need_check,processed
rnd_1_family_82,rnd_1_family_82,116,87.0,18.0,4485,4437,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_15,rnd_1_family_15,279,41.0,32.0,387,364,Unknown,DNA/hAT-Charlie,False,False,Reco_check,processed
rnd_1_family_83,rnd_1_family_83,116,87.0,18.0,4482,4437,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_177,rnd_1_family_177,39,25.0,6.0,583,545,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_139,rnd_1_family_139,212,98.0,1.0,4972,4872,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_167,rnd_1_family_167,503,34.0,71.0,739,722,DNA/P,DNA/P,False,False,Reco_check,processed
rnd_1_family_167,rnd_1_family_167_01,503,13.0,71.0,739,750,DNA/P,DNA/P,False,False,Need_check,processed
rnd_1_family_11,rnd_1_family_11,139,29.0,0.0,482,10168,Unknown,LTR/Gypsy,False,False,Need_check,processed
rnd_1_family_11,rnd_1_family_11_01,139,14.0,0.0,482,1915,Unknown,LTR/Gypsy,False,False,Need_check,processed
rnd_4_family_994,rnd_4_family_994,111,74.0,2.0,10310,9696,Unknown,RC/Helitron,False,False,Reco_check,processed
rnd_4_family_994,rnd_4_family_994_01,111,14.0,1.0,10310,10028,Unknown,RC/Helitron,False,False,Need_check,processed
rnd_1_family_159,rnd_1_family_159,534,100.0,114.0,872,859,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_186,rnd_1_family_186,58,54.0,13.0,366,221,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_172,rnd_1_family_172,165,99.0,120.0,271,263,DNA/hAT-Tip100,DNA/hAT-Tip100,False,False,Reco_check,processed
rnd_1_family_195,rnd_1_family_195,208,21.0,106.0,429,366,Unknown,DNA/P,False,False,Reco_check,processed
rnd_1_family_195,rnd_1_family_195_01,208,14.0,27.0,429,418,Unknown,DNA/P,False,False,Need_check,processed
rnd_1_family_194,rnd_1_family_194,54,37.0,26.0,1674,1655,DNA/TcMar-Tc1,DNA/TcMar-Tc1,TIR,False,Good,processed
rnd_1_family_154,rnd_1_family_154,629,44.0,46.0,1125,5509,LINE/R1-LOA,LINE/R1-LOA,False,False,Reco_check,processed
rnd_1_family_154,rnd_1_family_154_01,629,13.0,46.0,1125,5537,LINE/R1-LOA,LINE/R1-LOA,False,False,Need_check,processed
rnd_1_family_180,rnd_1_family_180,88,39.0,25.0,209,207,Unknown,LTR/Gypsy,False,False,Reco_check,processed
rnd_1_family_239,rnd_1_family_239,213,98.0,0.0,4971,4898,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_200,rnd_1_family_200,62,24.0,20.0,295,298,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_17,rnd_1_family_17,516,10.0,0.0,743,2150,Unknown,DNA/P,False,False,Need_check,processed
rnd_1_family_17,rnd_1_family_17_01,516,90.0,8.0,743,797,Unknown,DNA/P,False,False,Reco_check,processed
rnd_1_family_221,rnd_1_family_221,44,14.0,17.0,289,203,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_143,rnd_1_family_143,184,90.0,40.0,970,963,Unknown,Unknown,TIR,False,Good,processed
rnd_1_family_18,rnd_1_family_18,10925,70.0,1802.0,1166,633,RC/Helitron,RC/Helitron,LTR,False,Good,processed
rnd_1_family_267,rnd_1_family_267,4,NaN,NaN,254,254,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_135,rnd_1_family_135,3934,79.0,76.0,489,4478,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_225,rnd_1_family_225,42,34.0,15.0,1832,1662,DNA/TcMar-Tc1,DNA/TcMar-Tc1,False,False,Reco_check,processed
rnd_1_family_232,rnd_1_family_232,76,29.0,12.0,530,434,LTR/Pao,LTR/Pao,False,False,Reco_check,processed
rnd_1_family_182,rnd_1_family_182,101,97.0,1.0,588,519,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_22,rnd_1_family_22,627,81.0,13.0,1083,986,Unknown,DNA/P,LTR,False,Good,processed
rnd_1_family_231,rnd_1_family_231,98,72.0,3.0,431,413,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_323,rnd_1_family_323,1,NaN,NaN,161,161,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_264,rnd_1_family_264,73,48.0,2.0,565,238,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_181,rnd_1_family_181,183,87.0,40.0,972,939,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_197,rnd_1_family_197,98,93.0,0.0,405,495,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_348,rnd_1_family_348,8,NaN,NaN,352,352,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_206,rnd_1_family_206,125,14.0,6.0,940,692,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_24,rnd_1_family_24,548,13.0,1510.0,1729,1127,Unknown,DNA/TcMar-Tc1,False,False,Need_check,processed
rnd_1_family_24,rnd_1_family_24_01,548,73.0,529.0,1729,1140,Unknown,RC/Helitron,False,False,Reco_check,processed
rnd_1_family_333,rnd_1_family_333,24,24.0,4.0,202,176,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_330,rnd_1_family_330,56,16.0,24.0,297,279,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_361,rnd_1_family_361,0,NaN,NaN,63,63,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_304,rnd_1_family_304,71,37.0,0.0,10789,9405,LTR/Gypsy,LTR/Gypsy,False,False,Need_check,processed
rnd_1_family_304,rnd_1_family_304_01,71,16.0,1.0,10789,10412,LTR/Gypsy,LTR/Gypsy,LTR,False,Need_check,processed
rnd_1_family_2,rnd_1_family_2,9298,85.0,1664.0,1306,809,RC/Helitron,RC/Helitron,TIR,False,Good,processed
rnd_1_family_258,rnd_1_family_258,262,91.0,37.0,530,514,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_375,rnd_1_family_375,7,NaN,NaN,573,573,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_33,rnd_1_family_33,16,14.0,0.0,316,1459,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_359,rnd_1_family_359,54,18.0,31.0,197,169,Unknown,LTR/Gypsy,False,False,Need_check,processed
rnd_4_family_445,rnd_4_family_445,72,25.0,0.0,10941,9120,LTR/Gypsy,LTR/Gypsy,False,False,Need_check,processed
rnd_4_family_445,rnd_4_family_445_01,72,16.0,0.0,10941,10449,LTR/Gypsy,LTR/Gypsy,LTR,False,Need_check,processed
rnd_1_family_401,rnd_1_family_401,0,NaN,NaN,123,123,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_219,rnd_1_family_219,467,98.0,40.0,746,1006,Unknown,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_27,rnd_1_family_27,510,71.0,40.0,1030,1011,DNA/PIF-Harbinger,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_408,rnd_1_family_408,0,NaN,NaN,80,80,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_412,rnd_1_family_412,0,NaN,NaN,147,147,SINE/tRNA,SINE/tRNA,False,False,NaN,skipped
rnd_1_family_123,rnd_1_family_123,37,30.0,0.0,383,12864,LTR/Gypsy,LTR/Gypsy,LTR,False,Need_check,processed
rnd_1_family_318,rnd_1_family_318,93,67.0,1.0,400,414,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_344,rnd_1_family_344,106,75.0,0.0,10479,9829,RC/Helitron,RC/Helitron,False,False,Need_check,processed
rnd_1_family_344,rnd_1_family_344_01,106,13.0,0.0,10479,9879,RC/Helitron,RC/Helitron,False,False,Need_check,processed
rnd_1_family_381,rnd_1_family_381,245,23.0,107.0,546,385,Unknown,DNA/P,False,False,Reco_check,processed
rnd_1_family_381,rnd_1_family_381_01,245,14.0,21.0,546,442,Unknown,DNA/P,False,False,Need_check,processed
rnd_1_family_399,rnd_1_family_399,60,39.0,23.0,492,475,Unknown,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_307,rnd_1_family_307,591,51.0,34.0,700,674,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_403,rnd_1_family_403,75,25.0,13.0,515,403,Unknown,LTR/Pao,False,False,Reco_check,processed
rnd_1_family_496,rnd_1_family_496,18,NaN,NaN,880,880,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_425,rnd_1_family_425,79,61.0,1.0,461,423,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_36,rnd_1_family_36,6653,20.0,55.0,924,903,DNA/hAT-Charlie,DNA/hAT-Charlie,False,False,Reco_check,processed
rnd_1_family_36,rnd_1_family_36_01,6653,10.0,56.0,924,911,DNA/hAT-Charlie,DNA/hAT-Charlie,False,False,Need_check,processed
rnd_1_family_100,rnd_1_family_100,115,28.0,0.0,2913,12733,LTR/Gypsy,LTR/Gypsy,LTR,False,Need_check,processed
rnd_1_family_100,rnd_1_family_100_01,115,26.0,0.0,2913,12609,LTR/Gypsy,LTR/Gypsy,LTR,False,Need_check,processed
rnd_1_family_35,rnd_1_family_35,535,100.0,114.0,870,858,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_387,rnd_1_family_387,258,68.0,42.0,383,356,Unknown,DNA/hAT-Charlie,False,False,Reco_check,processed
rnd_1_family_360,rnd_1_family_360,108,86.0,19.0,246,236,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_501,rnd_1_family_501,68,41.0,23.0,502,475,Unknown,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_467,rnd_1_family_467,52,50.0,22.0,604,589,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_374,rnd_1_family_374,172,15.0,0.0,392,4441,Unknown,LTR/Pao,False,False,Need_check,processed
rnd_1_family_3,rnd_1_family_3,5013,69.0,11.0,1166,999,Unknown,RC/Helitron,TIR,False,Good,processed
rnd_1_family_204,rnd_1_family_204,128,64.0,6.0,614,6883,Unknown,LTR/Pao,LTR,False,Perfect,processed
rnd_1_family_90,rnd_1_family_90,356,NaN,NaN,269,269,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_55,rnd_1_family_55,2715,68.0,1.0,991,859,Unknown,RC/Helitron,TIR,False,Need_check,processed
rnd_3_family_119,rnd_3_family_119,0,NaN,NaN,77,77,Simple_repeat,Simple_repeat,False,False,NaN,skipped
rnd_1_family_319,rnd_1_family_319,20,17.0,1.0,401,11063,Unknown,LINE/I-Jockey,False,False,Need_check,processed
rnd_1_family_46,rnd_1_family_46,745,14.0,2.0,2060,2854,DNA/PIF-Harbinger,DNA/PIF-Harbinger,False,False,Need_check,processed
rnd_1_family_46,rnd_1_family_46_01,745,21.0,0.0,2060,2100,DNA/PIF-Harbinger,DNA/PIF-Harbinger,TIR,False,Need_check,processed
rnd_3_family_1259,rnd_3_family_1259,20,20.0,2.0,212,203,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_87,rnd_1_family_87,5820,49.0,43.0,1312,1296,DNA/CMC-Transib,DNA/CMC-Transib,False,False,Reco_check,processed
rnd_3_family_134,rnd_3_family_134,34,28.0,0.0,443,231,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_70,rnd_1_family_70,457,100.0,0.0,494,427,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_57,rnd_1_family_57,203,27.0,29.0,1707,1637,DNA/TcMar-Tc1,DNA/TcMar-Tc1,False,False,Reco_check,processed
rnd_3_family_2471,rnd_3_family_2471,0,NaN,NaN,129,129,SINE/tRNA,SINE/tRNA,False,False,NaN,skipped
rnd_3_family_2834,rnd_3_family_2834,0,NaN,NaN,53,53,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_96,rnd_1_family_96,190,22.0,123.0,379,407,Unknown,DNA/P,False,False,Reco_check,processed
rnd_1_family_96,rnd_1_family_96_01,190,21.0,106.0,379,384,Unknown,DNA/P,False,False,Reco_check,processed
rnd_3_family_315,rnd_3_family_315,1,NaN,NaN,295,295,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_92,rnd_1_family_92,508,34.0,71.0,738,722,DNA/P,DNA/P,False,False,Reco_check,processed
rnd_1_family_92,rnd_1_family_92_01,508,13.0,71.0,738,763,DNA/P,DNA/P,False,False,Need_check,processed
rnd_3_family_487,rnd_3_family_487,1,NaN,NaN,485,485,Satellite,Satellite,False,False,NaN,skipped
rnd_1_family_54,rnd_1_family_54,268,85.0,95.0,796,779,Unknown,Unknown,False,False,Reco_check,processed
rnd_3_family_52,rnd_3_family_52,2,NaN,NaN,313,313,Unknown,Unknown,False,False,NaN,skipped
rnd_3_family_117,rnd_3_family_117,37,37.0,11.0,1338,1329,DNA/TcMar-Mariner,DNA/TcMar-Mariner,False,False,Reco_check,processed
rnd_1_family_457,rnd_1_family_457,384,10.0,25.0,934,4547,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_3_family_16,rnd_3_family_16,25,21.0,2.0,375,347,Unknown,Unknown,False,False,Reco_check,processed
rnd_3_family_61,rnd_3_family_61,2,NaN,NaN,508,508,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_51,rnd_1_family_51,467,71.0,0.0,1061,1352,Unknown,Unknown,False,False,Need_check,processed
rnd_3_family_705,rnd_3_family_705,0,NaN,NaN,83,83,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1003,rnd_4_family_1003,12,NaN,NaN,665,665,LINE/R1-LOA,LINE/R1-LOA,False,False,NaN,skipped
rnd_3_family_55,rnd_3_family_55,25,22.0,1.0,485,346,Unknown,Unknown,False,False,Need_check,processed
rnd_4_family_1032,rnd_4_family_1032,1,NaN,NaN,231,231,Unknown,Unknown,False,False,NaN,skipped
rnd_3_family_610,rnd_3_family_610,9,NaN,NaN,1877,1877,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1114,rnd_4_family_1114,12,NaN,NaN,688,688,DNA/TcMar-Tc1,DNA/TcMar-Tc1,False,False,NaN,skipped
rnd_4_family_1125,rnd_4_family_1125,1,NaN,NaN,151,151,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_84,rnd_1_family_84,262,95.0,40.0,542,523,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_7,rnd_1_family_7,2875,100.0,100.0,1975,1975,DNA/CMC-Chapaev-3,DNA/CMC-Chapaev-3,TIR,False,Good,processed
rnd_4_family_1011,rnd_4_family_1011,16,15.0,2.0,2234,2184,Unknown,Unknown,False,False,Need_check,processed
rnd_3_family_56,rnd_3_family_56,42,28.0,9.0,1320,1325,DNA/TcMar-Tc1,DNA/TcMar-Tc1,False,False,Reco_check,processed
rnd_4_family_1147,rnd_4_family_1147,22,NaN,NaN,2290,2290,DNA/hAT-Ac,DNA/hAT-Ac,False,False,NaN,skipped
rnd_1_family_273,rnd_1_family_273,91,61.0,2.0,198,7494,Unknown,LTR/Gypsy,LTR,False,Good,processed
rnd_1_family_9,rnd_1_family_9,9299,89.0,412.0,1302,1186,RC/Helitron,RC/Helitron,False,False,Reco_check,processed
rnd_4_family_1329,rnd_4_family_1329,0,NaN,NaN,36,36,Simple_repeat,Simple_repeat,False,False,NaN,skipped
rnd_3_family_157,rnd_3_family_157,151,100.0,0.0,412,402,Unknown,Unknown,False,False,Need_check,processed
rnd_4_family_1448,rnd_4_family_1448,14,NaN,NaN,814,814,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_14,rnd_4_family_14,14,NaN,NaN,556,556,Unknown,Unknown,False,False,NaN,skipped
rnd_3_family_153,rnd_3_family_153,46,26.0,0.0,372,5895,Unknown,LTR/Gypsy,False,False,Need_check,processed
rnd_4_family_1323,rnd_4_family_1323,3,NaN,NaN,1148,1148,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_154,rnd_4_family_154,3,NaN,NaN,573,573,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1555,rnd_4_family_1555,0,NaN,NaN,98,98,SINE/tRNA,SINE/tRNA,False,False,NaN,skipped
rnd_3_family_580,rnd_3_family_580,68,43.0,0.0,1080,1809,DNA/CMC-Transib,DNA/CMC-Transib,False,False,Need_check,processed
rnd_4_family_1570,rnd_4_family_1570,1,NaN,NaN,194,194,Unknown,Unknown,False,False,NaN,skipped
rnd_3_family_294,rnd_3_family_294,92,68.0,3.0,420,414,Unknown,Unknown,False,False,Reco_check,processed
rnd_4_family_155,rnd_4_family_155,2,NaN,NaN,284,284,Unknown,Unknown,False,False,NaN,skipped
rnd_3_family_67,rnd_3_family_67,57,34.0,8.0,935,869,DNA/hAT-hobo,DNA/hAT-hobo,False,False,Reco_check,processed
