input_name,consensus_name,blast_hit_n,cons_MSA_seq_n,cons_full_blast_n,input_length,cons_length,input_TE_type,reclassified_type,terminal_repeat,low_copy,evaluation,status
rnd_1_family_183,rnd_1_family_183,604,22.0,25.0,5046,4555,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_183,rnd_1_family_183_01,604,66.0,26.0,5046,4544,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_13,rnd_1_family_13,22,16.0,2.0,2533,1129,DNA/TcMar-Mariner,DNA/TcMar-Mariner,False,False,Need_check,processed
rnd_1_family_154,rnd_1_family_154,0,NaN,NaN,145,145,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_102,rnd_1_family_102,215,99.0,0.0,4971,4845,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_165,rnd_1_family_165,0,NaN,NaN,129,129,RC/Helitron,RC/Helitron,False,False,NaN,skipped
rnd_4_family_2221,rnd_4_family_2221,34,29.0,0.0,3975,5115,LINE/R1,LINE/R1,False,False,Need_check,processed
rnd_1_family_144,rnd_1_family_144,93,91.0,83.0,201,192,Unknown,LINE/I-Jockey,False,False,Reco_check,processed
rnd_1_family_146,rnd_1_family_146,53,31.0,0.0,388,998,Unknown,RC/Helitron,False,False,Need_check,processed
rnd_1_family_125,rnd_1_family_125,116,87.0,18.0,4482,4439,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_106,rnd_1_family_106,178,46.0,34.0,1689,1686,DNA/TcMar-Tc1,DNA/TcMar-Tc1,False,False,Reco_check,processed
rnd_1_family_100,rnd_1_family_100,112,97.0,3.0,521,455,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_72,rnd_1_family_72,116,87.0,18.0,4482,4439,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_179,rnd_1_family_179,62,17.0,23.0,298,286,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_119,rnd_1_family_119,260,93.0,37.0,532,516,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_200,rnd_1_family_200,13,NaN,NaN,1306,1306,LTR/Pao,LTR/Pao,False,False,NaN,skipped
rnd_1_family_14,rnd_1_family_14,555,85.0,9.0,1097,1035,Unknown,Satellite,LTR,False,Good,processed
rnd_1_family_181,rnd_1_family_181,81,10.0,12.0,1681,1686,Unknown,Unknown,TIR,False,Good,processed
rnd_1_family_158,rnd_1_family_158,116,87.0,18.0,4481,4437,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_196,rnd_1_family_196,40,23.0,13.0,584,476,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_129,rnd_1_family_129,269,90.0,95.0,794,778,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_213,rnd_1_family_213,31,15.0,17.0,292,200,Unknown,LINE/I-Jockey,False,False,Need_check,processed
rnd_1_family_151,rnd_1_family_151,165,99.0,120.0,271,263,DNA/hAT-Tip100,DNA/hAT-Tip100,False,False,Reco_check,processed
rnd_1_family_255,rnd_1_family_255,0,NaN,NaN,112,112,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_172,rnd_1_family_172,6679,20.0,55.0,928,910,DNA/hAT-Charlie,DNA/hAT-Charlie,False,False,Reco_check,processed
rnd_1_family_172,rnd_1_family_172_01,6679,12.0,58.0,928,871,DNA/hAT-Charlie,DNA/hAT-Charlie,False,False,Need_check,processed
rnd_1_family_244,rnd_1_family_244,116,87.0,18.0,4482,4439,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_16,rnd_1_family_16,531,100.0,114.0,888,859,Unknown,RC/Helitron,False,False,Reco_check,processed
rnd_1_family_292,rnd_1_family_292,3,NaN,NaN,482,482,LINE/CR1,LINE/CR1,False,False,NaN,skipped
rnd_1_family_225,rnd_1_family_225,90,34.0,29.0,212,199,Unknown,LTR/Gypsy,False,False,Reco_check,processed
rnd_1_family_230,rnd_1_family_230,59,55.0,17.0,382,197,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_265,rnd_1_family_265,54,17.0,24.0,299,276,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_299,rnd_1_family_299,5,NaN,NaN,250,250,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_21,rnd_1_family_21,737,27.0,97.0,1177,1172,DNA/PIF-Harbinger,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_21,rnd_1_family_21_01,737,15.0,89.0,1177,1125,DNA/PIF-Harbinger,DNA/PIF-Harbinger,False,False,Need_check,processed
rnd_1_family_316,rnd_1_family_316,5,NaN,NaN,826,826,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_227,rnd_1_family_227,73,28.0,7.0,619,427,Unknown,LTR/Pao,False,False,Reco_check,processed
rnd_1_family_163,rnd_1_family_163,116,89.0,1.0,580,501,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_98,rnd_1_family_98,116,87.0,18.0,4481,4437,LINE/CR1,LINE/CR1,False,False,Reco_check,processed
rnd_1_family_202,rnd_1_family_202,110,86.0,14.0,241,222,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_250,rnd_1_family_250,176,53.0,0.0,401,1846,Unknown,LTR/Pao,False,False,Need_check,processed
rnd_1_family_208,rnd_1_family_208,96,68.0,3.0,414,415,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_376,rnd_1_family_376,0,NaN,NaN,114,114,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_294,rnd_1_family_294,60,40.0,23.0,489,475,Unknown,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_272,rnd_1_family_272,71,21.0,8.0,1287,1175,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_251,rnd_1_family_251,471,25.0,6.0,750,784,DNA/PIF-Harbinger,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_206,rnd_1_family_206,120,76.0,0.0,567,544,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_354,rnd_1_family_354,55,40.0,29.0,194,164,Unknown,LTR/Gypsy,False,False,Reco_check,processed
rnd_1_family_401,rnd_1_family_401,7,NaN,4.0,935,935,Unknown,Unknown,LTR,True,NaN,processed
rnd_1_family_300,rnd_1_family_300,84,33.0,529.0,200,1138,Unknown,RC/Helitron,False,False,Reco_check,processed
rnd_1_family_267,rnd_1_family_267,123,80.0,0.0,516,1114,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_322,rnd_1_family_322,74,64.0,2.0,462,428,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_321,rnd_1_family_321,93,68.0,2.0,463,419,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_356,rnd_1_family_356,39,28.0,4.0,570,541,Unknown,Unknown,False,False,Reco_check,processed
rnd_1_family_192,rnd_1_family_192,69,11.0,0.0,2358,2244,Unknown,RC/Helitron,False,False,Need_check,processed
rnd_1_family_192,rnd_1_family_192_01,69,46.0,0.0,2358,2068,Unknown,RC/Helitron,False,False,Need_check,processed
rnd_1_family_430,rnd_1_family_430,19,16.0,0.0,566,368,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_460,rnd_1_family_460,10,10.0,4.0,461,657,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_384,rnd_1_family_384,54,36.0,26.0,1673,1655,DNA/TcMar-Tc1,DNA/TcMar-Tc1,TIR,False,Good,processed
rnd_1_family_260,rnd_1_family_260,213,97.0,1.0,4971,4874,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_33,rnd_1_family_33,565,20.0,13.0,1416,1326,Unknown,DNA/P,False,False,Reco_check,processed
rnd_1_family_33,rnd_1_family_33_01,565,13.0,0.0,1416,2151,Unknown,DNA/P,False,False,Need_check,processed
rnd_1_family_399,rnd_1_family_399,60,41.0,18.0,493,506,Unknown,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_329,rnd_1_family_329,77,52.0,24.0,663,514,LTR/Gypsy,LTR/Gypsy,False,False,Reco_check,processed
rnd_1_family_2,rnd_1_family_2,4734,69.0,9.0,1194,1152,Unknown,DNA/CMC-Chapaev-3,False,False,Reco_check,processed
rnd_1_family_331,rnd_1_family_331,70,60.0,0.0,1011,1543,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_38,rnd_1_family_38,509,72.0,40.0,1025,1005,DNA/PIF-Harbinger,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_403,rnd_1_family_403,60,39.0,23.0,491,489,Unknown,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_87,rnd_1_family_87,215,97.0,1.0,4969,4812,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_1_family_58,rnd_1_family_58,103,42.0,29.0,1070,1058,DNA/CMC-Transib,DNA/CMC-Transib,False,False,Reco_check,processed
rnd_1_family_432,rnd_1_family_432,13,13.0,0.0,331,6074,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_70,rnd_1_family_70,242,24.0,107.0,373,383,Unknown,LINE/I-Jockey,False,False,Reco_check,processed
rnd_1_family_70,rnd_1_family_70_01,242,20.0,76.0,373,370,Unknown,LINE/I-Jockey,False,False,Reco_check,processed
rnd_3_family_106,rnd_3_family_106,1,NaN,NaN,234,234,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_44,rnd_1_family_44,203,27.0,29.0,1707,1637,DNA/TcMar-Tc1,DNA/TcMar-Tc1,False,False,Reco_check,processed
rnd_1_family_63,rnd_1_family_63,511,34.0,71.0,741,722,DNA/P,DNA/P,False,False,Reco_check,processed
rnd_1_family_63,rnd_1_family_63_01,511,13.0,71.0,741,750,DNA/P,DNA/P,False,False,Need_check,processed
rnd_3_family_2020,rnd_3_family_2020,0,NaN,NaN,28,28,Unknown,Unknown,False,False,NaN,skipped
rnd_3_family_2304,rnd_3_family_2304,7,NaN,NaN,283,283,SINE/tRNA,SINE/tRNA,False,False,NaN,skipped
rnd_1_family_83,rnd_1_family_83,19,NaN,4.0,4544,4544,LTR/Pao,LTR/Pao,LTR,True,NaN,processed
rnd_3_family_423,rnd_3_family_423,0,NaN,NaN,64,64,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_54,rnd_1_family_54,158,100.0,0.0,434,395,Unknown,Unknown,False,False,Need_check,processed
rnd_3_family_1168,rnd_3_family_1168,25,21.0,4.0,376,344,Unknown,Unknown,False,False,Reco_check,processed
rnd_3_family_53,rnd_3_family_53,1,NaN,NaN,353,353,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_4,rnd_1_family_4,866,92.0,304.0,668,667,Unknown,LINE/CR1,False,False,Reco_check,processed
rnd_3_family_876,rnd_3_family_876,1,NaN,NaN,320,320,Unknown,Unknown,False,False,NaN,skipped
rnd_3_family_9,rnd_3_family_9,14,NaN,NaN,714,714,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_10077,rnd_4_family_10077,0,NaN,NaN,122,122,Unknown,Unknown,False,False,NaN,skipped
rnd_3_family_2426,rnd_3_family_2426,22,22.0,3.0,207,188,Unknown,Unknown,False,False,Reco_check,processed
rnd_3_family_1191,rnd_3_family_1191,34,26.0,3.0,412,336,Unknown,Unknown,False,False,Reco_check,processed
rnd_4_family_1014,rnd_4_family_1014,1,NaN,NaN,257,257,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1059,rnd_4_family_1059,0,NaN,NaN,128,128,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_80,rnd_1_family_80,195,30.0,125.0,362,384,Unknown,LINE/I-Jockey,False,False,Reco_check,processed
rnd_1_family_80,rnd_1_family_80_01,195,21.0,107.0,362,373,Unknown,LINE/I-Jockey,False,False,Reco_check,processed
rnd_4_family_1078,rnd_4_family_1078,8,NaN,NaN,426,426,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1090,rnd_4_family_1090,3,NaN,NaN,339,339,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_53,rnd_1_family_53,117,83.0,21.0,243,231,Unknown,Unknown,False,False,Reco_check,processed
rnd_4_family_151,rnd_4_family_151,213,98.0,1.0,4971,4531,LINE/CR1,LINE/CR1,False,False,Need_check,processed
rnd_4_family_1110,rnd_4_family_1110,4,NaN,NaN,572,572,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_60,rnd_1_family_60,365,100.0,0.0,446,420,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_93,rnd_1_family_93,88,33.0,33.0,211,203,Unknown,LTR/Gypsy,False,False,Reco_check,processed
rnd_4_family_1171,rnd_4_family_1171,2,NaN,NaN,372,372,Unknown,Unknown,False,False,NaN,skipped
rnd_3_family_439,rnd_3_family_439,43,23.0,0.0,1321,1246,DNA/TcMar-Tc1,DNA/TcMar-Tc1,False,False,Need_check,processed
rnd_1_family_42,rnd_1_family_42,3117,90.0,95.0,1145,782,Unknown,Unknown,False,False,Reco_check,processed
rnd_3_family_780,rnd_3_family_780,33,27.0,0.0,684,477,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_48,rnd_1_family_48,260,95.0,41.0,530,523,Unknown,Unknown,False,False,Reco_check,processed
rnd_4_family_120,rnd_4_family_120,6,NaN,NaN,227,227,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1248,rnd_4_family_1248,1,NaN,NaN,302,302,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1012,rnd_4_family_1012,20,NaN,NaN,3363,3363,LINE/L1,LINE/L1,False,False,NaN,skipped
rnd_4_family_1197,rnd_4_family_1197,4,NaN,NaN,619,619,LINE/L2,LINE/L2,False,False,NaN,skipped
rnd_4_family_133,rnd_4_family_133,6,NaN,NaN,372,372,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1249,rnd_4_family_1249,7,NaN,NaN,552,552,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1106,rnd_4_family_1106,18,16.0,0.0,706,518,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_76,rnd_1_family_76,339,47.0,48.0,1445,734,Unknown,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_76,rnd_1_family_76_01,339,18.0,40.0,1445,1011,Unknown,DNA/PIF-Harbinger,False,False,Need_check,processed
rnd_4_family_1163,rnd_4_family_1163,9,NaN,NaN,8265,8265,rRNA,rRNA,False,False,NaN,skipped
rnd_4_family_1445,rnd_4_family_1445,4,NaN,NaN,432,432,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1589,rnd_4_family_1589,1,NaN,NaN,189,189,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1054,rnd_4_family_1054,35,11.0,2.0,1692,1746,Unknown,Unknown,False,False,Need_check,processed
rnd_1_family_85,rnd_1_family_85,472,100.0,40.0,753,1006,DNA/PIF-Harbinger,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_1_family_7,rnd_1_family_7,2896,100.0,100.0,1974,1973,DNA/CMC-Chapaev-3,DNA/CMC-Chapaev-3,TIR,False,Good,processed
rnd_4_family_1706,rnd_4_family_1706,5,NaN,NaN,304,304,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1530,rnd_4_family_1530,14,NaN,NaN,912,912,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1716,rnd_4_family_1716,1,NaN,NaN,233,233,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_172,rnd_4_family_172,1,NaN,NaN,460,460,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1796,rnd_4_family_1796,0,NaN,NaN,39,39,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1065,rnd_4_family_1065,11,11.0,0.0,1162,1948,Unknown,Satellite,False,False,Need_check,processed
rnd_4_family_1827,rnd_4_family_1827,0,NaN,NaN,29,29,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_95,rnd_1_family_95,133,70.0,44.0,595,568,Unknown,LINE/R1-LOA,False,False,Reco_check,processed
rnd_4_family_1487,rnd_4_family_1487,16,15.0,0.0,375,317,Unknown,Unknown,False,False,Need_check,processed
rnd_4_family_2020,rnd_4_family_2020,2,NaN,NaN,325,325,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2038,rnd_4_family_2038,0,NaN,NaN,34,34,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1191,rnd_4_family_1191,21,15.0,0.0,1537,1674,LINE/R1-LOA,LINE/R1-LOA,False,False,Need_check,processed
rnd_4_family_1194,rnd_4_family_1194,19,19.0,2.0,1390,1245,RC/Helitron,RC/Helitron,False,False,Need_check,processed
rnd_1_family_6,rnd_1_family_6,2169,100.0,11.0,2378,3277,DNA/CMC-Chapaev-3,DNA/CMC-Chapaev-3,TIR,False,Good,processed
rnd_4_family_1797,rnd_4_family_1797,11,NaN,NaN,1137,1137,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_222,rnd_4_family_222,0,NaN,NaN,126,126,LINE/L1,LINE/L1,False,False,NaN,skipped
rnd_4_family_1134,rnd_4_family_1134,49,49.0,15.0,1303,1288,DNA/TcMar-Mariner,DNA/TcMar-Mariner,False,False,Reco_check,processed
rnd_3_family_54,rnd_3_family_54,116,86.0,19.0,249,230,Unknown,Unknown,False,False,Reco_check,processed
rnd_4_family_1691,rnd_4_family_1691,40,15.0,2.0,1990,1771,Unknown,Unknown,False,False,Need_check,processed
rnd_4_family_1130,rnd_4_family_1130,26,20.0,3.0,2478,2062,DNA/PIF-Harbinger,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_4_family_2320,rnd_4_family_2320,13,NaN,NaN,221,221,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1463,rnd_4_family_1463,34,11.0,1.0,821,1370,Unknown,DNA/hAT-Blackjack,False,False,Need_check,processed
rnd_4_family_241,rnd_4_family_241,0,NaN,NaN,171,171,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_16,rnd_4_family_16,60,40.0,23.0,493,474,Unknown,DNA/PIF-Harbinger,False,False,Reco_check,processed
rnd_4_family_2385,rnd_4_family_2385,2,NaN,NaN,310,310,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_1983,rnd_4_family_1983,21,19.0,7.0,683,1673,DNA/CMC-Transib,DNA/CMC-Transib,False,False,Need_check,processed
rnd_4_family_238,rnd_4_family_238,13,NaN,NaN,716,716,LTR/Pao,LTR/Pao,False,False,NaN,skipped
rnd_4_family_2361,rnd_4_family_2361,1,NaN,NaN,617,617,Unknown,Unknown,False,False,NaN,skipped
rnd_1_family_90,rnd_1_family_90,183,94.0,0.0,981,1104,Unknown,Unknown,False,False,Need_check,processed
rnd_4_family_1742,rnd_4_family_1742,45,36.0,15.0,1049,1290,DNA/TcMar-Mariner,DNA/TcMar-Mariner,False,False,Reco_check,processed
rnd_4_family_2621,rnd_4_family_2621,14,NaN,NaN,494,494,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_264,rnd_4_family_264,0,NaN,NaN,96,96,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2687,rnd_4_family_2687,0,NaN,NaN,93,93,Simple_repeat,Simple_repeat,False,False,NaN,skipped
rnd_4_family_2181,rnd_4_family_2181,19,19.0,2.0,1390,1245,RC/Helitron,RC/Helitron,False,False,Need_check,processed
rnd_4_family_2706,rnd_4_family_2706,6,NaN,NaN,353,353,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2302,rnd_4_family_2302,53,40.0,0.0,1296,1294,Unknown,DNA/CMC-Transib,False,False,Need_check,processed
rnd_4_family_2769,rnd_4_family_2769,0,NaN,NaN,106,106,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_173,rnd_4_family_173,13,12.0,7.0,2394,2402,DNA/TcMar-Tigger,DNA/TcMar-Tigger,False,False,Need_check,processed
rnd_4_family_2314,rnd_4_family_2314,29,28.0,10.0,2537,2533,DNA/MULE-MuDR,DNA/MULE-MuDR,TIR,False,Good,processed
rnd_4_family_2796,rnd_4_family_2796,1,NaN,NaN,175,175,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2735,rnd_4_family_2735,8,NaN,NaN,852,852,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2805,rnd_4_family_2805,8,NaN,NaN,408,408,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2870,rnd_4_family_2870,8,NaN,NaN,424,424,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2471,rnd_4_family_2471,17,NaN,NaN,1882,1882,LINE/R1,LINE/R1,False,False,NaN,skipped
rnd_4_family_1397,rnd_4_family_1397,23,15.0,0.0,1628,7170,LINE/I-Jockey,LINE/I-Jockey,LTR,False,Need_check,processed
rnd_4_family_2069,rnd_4_family_2069,54,28.0,8.0,891,857,DNA/hAT-hobo,DNA/hAT-hobo,False,False,Reco_check,processed
rnd_4_family_299,rnd_4_family_299,1,NaN,NaN,286,286,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_3046,rnd_4_family_3046,0,NaN,NaN,80,80,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2948,rnd_4_family_2948,10,NaN,NaN,445,445,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_317,rnd_4_family_317,1,NaN,NaN,423,423,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_3240,rnd_4_family_3240,2,NaN,NaN,359,359,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2887,rnd_4_family_2887,12,NaN,NaN,1455,1455,LTR/Pao,LTR/Pao,False,False,NaN,skipped
rnd_4_family_3276,rnd_4_family_3276,1,NaN,NaN,301,301,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_3399,rnd_4_family_3399,3,NaN,NaN,331,331,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2508,rnd_4_family_2508,24,16.0,0.0,2294,2028,DNA/hAT-Ac,DNA/hAT-Ac,False,False,Need_check,processed
rnd_4_family_3525,rnd_4_family_3525,0,NaN,NaN,172,172,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2193,rnd_4_family_2193,54,21.0,0.0,1631,1675,Unknown,Unknown,False,False,Need_check,processed
rnd_4_family_2193,rnd_4_family_2193_01,54,12.0,0.0,1631,1406,Unknown,Unknown,False,False,Need_check,processed
rnd_4_family_3670,rnd_4_family_3670,0,NaN,NaN,100,100,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_356,rnd_4_family_356,10,NaN,NaN,662,662,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_3749,rnd_4_family_3749,0,NaN,NaN,34,34,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_3288,rnd_4_family_3288,13,13.0,0.0,1449,1128,DNA/P,DNA/P,False,False,Need_check,processed
rnd_4_family_3849,rnd_4_family_3849,1,NaN,NaN,214,214,DNA/hAT-Ac,DNA/hAT-Ac,False,False,NaN,skipped
rnd_4_family_1934,rnd_4_family_1934,74,45.0,12.0,1661,1638,DNA/TcMar-Tc1,DNA/TcMar-Tc1,False,False,Reco_check,processed
rnd_4_family_3839,rnd_4_family_3839,13,NaN,NaN,516,516,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_4138,rnd_4_family_4138,1,NaN,NaN,435,435,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2430,rnd_4_family_2430,56,29.0,0.0,1776,1185,DNA/CMC-Transib,DNA/CMC-Transib,False,False,Need_check,processed
rnd_4_family_41,rnd_4_family_41,2,NaN,NaN,322,322,Unknown,Unknown,False,False,NaN,skipped
rnd_4_family_2593,rnd_4_family_2593,11,10.0,2.0,2693,2636,DNA/PIF-Harbinger,DNA/PIF-Harbinger,TIR,False,Good,processed
rnd_4_family_3745,rnd_4_family_3745,18,NaN,NaN,2468,2468,DNA/CMC-EnSpm,DNA/CMC-EnSpm,False,False,NaN,skipped
rnd_4_family_2853,rnd_4_family_2853,77,62.0,2.0,546,424,Unknown,Unknown,False,False,Reco_check,processed
