name	coverage	copy_number
RND-4_FAMILY-1172#LTR/Pao	93963	51
RND-1_FAMILY-251#Unknown	93041	21
RND-1_FAMILY-110#Unknown	92395	111
RND-4_FAMILY-103#DNA/CMC-EnSpm	92278	123
RND-1_FAMILY-404#LINE/I	91611	103
RND-1_FAMILY-148#DNA/P	89846	235
RND-4_FAMILY-128#Unknown	89630	107
RND-1_FAMILY-153#Unknown	88504	170
RND-4_FAMILY-973#LTR/Pao	88380	45
RND-1_FAMILY-95#LTR/Pao	87275	134
RND-4_FAMILY-735#LINE/R1	87024	96
RND-4_FAMILY-1492#DNA/TcMar-Tc1	86836	111
RND-4_FAMILY-189#LTR/Gypsy	86501	66
RND-1_FAMILY-253#LTR/Gypsy	86229	28
RND-1_FAMILY-22#Unknown	85948	165
RND-1_FAMILY-180#DNA/PIF-Harbinger	85921	221
RND-1_FAMILY-2#Satellite	85878	195
RND-1_FAMILY-332#LINE/CR1	85623	278
RND-3_FAMILY-1007#LTR/Gypsy	84891	56
RND-4_FAMILY-1047#LTR/Gypsy	84657	74
RND-3_FAMILY-231#LTR/Pao	84449	75
RND-1_FAMILY-284#LTR/Pao	84434	82
RND-4_FAMILY-3763#LTR/Pao	84279	53
RND-1_FAMILY-139#LINE/R1	83860	248
RND-1_FAMILY-21#DNA/P	83348	165
RND-4_FAMILY-241#DNA/PIF-Harbinger	82989	117
RND-1_FAMILY-80#LINE/CR1	82627	59
RND-4_FAMILY-586#LTR/Gypsy	82525	57
RND-1_FAMILY-169#LTR/Pao	82142	31
RND-1_FAMILY-87#DNA/TcMar-Tc1	81988	77
RND-1_FAMILY-326#DNA/Maverick	81797	11
RND-1_FAMILY-227#LTR/Gypsy	81340	40
RND-4_FAMILY-748#LTR/Gypsy	81325	75
RND-1_FAMILY-93#DNA/CMC-Chapaev-3	80982	137
FBTE0000010_01#LTR/Gypsy	79374	63
RND-1_FAMILY-5#Unknown	78825	285
RND-1_FAMILY-173#LTR/Gypsy	78225	81
FBTE0000974_01#LTR/Gypsy	77953	58
RND-3_FAMILY-677#LTR/Gypsy	77831	109
RND-1_FAMILY-408#LTR/Pao	77228	60
RND-1_FAMILY-394#DNA/CMC-Chapaev-3	77181	161
RND-1_FAMILY-340#DNA/Maverick	76745	63
RND-1_FAMILY-280#Unknown	76485	145
RND-4_FAMILY-790#LTR/Gypsy	75373	63
FBTE0001084_01#LTR/Gypsy	75081	115
RND-4_FAMILY-500#LTR/Gypsy	75075	161
RND-1_FAMILY-156#DNA/P	74519	119
RND-4_FAMILY-543#LTR/Gypsy	74439	47
RND-4_FAMILY-2784#LTR/Gypsy	74208	37
RND-4_FAMILY-3867#LTR/Copia	74197	56
RND-4_FAMILY-2158#LTR/Pao	73648	55
RND-1_FAMILY-29#DNA/CMC-Transib	73639	166
FBTE0000357_01#LTR/Gypsy	73606	34
RND-1_FAMILY-413#LINE/CR1	72855	172
RND-4_FAMILY-772#LTR/Gypsy	70926	70
RND-1_FAMILY-403#LTR/Gypsy	70805	36
RND-4_FAMILY-1054#LTR/Gypsy	70629	32
RND-4_FAMILY-4509#LINE/R1-LOA	70437	148
RND-1_FAMILY-263#LTR/Gypsy	70258	32
RND-1_FAMILY-122#LTR/Gypsy	69896	54
RND-4_FAMILY-608#Unknown	69760	46
FBTE0001482#LINE/R1	69610	59
FBTE0000660#LTR/Gypsy	69142	53
RND-1_FAMILY-381#Unknown	68748	253
FBTE0000591_01#LTR/Gypsy	68456	26
RND-4_FAMILY-837#LTR/Gypsy	68270	41
RND-1_FAMILY-407#Unknown	68059	303
RND-4_FAMILY-2023#LTR/Gypsy	67980	58
RND-1_FAMILY-40#DNA/PIF-Harbinger	67729	149
RND-1_FAMILY-262#LINE/L2	67515	42
RND-4_FAMILY-1712#LTR/Gypsy	66445	57
RND-1_FAMILY-401#LTR/Gypsy	66353	41
RND-1_FAMILY-73#Unknown	66199	259
RND-1_FAMILY-106#LTR/Gypsy	66166	22
RND-1_FAMILY-313#LTR/Pao	65610	41
RND-1_FAMILY-112#Unknown	65600	313
RND-4_FAMILY-3625#Unknown	65286	31
RND-3_FAMILY-859#LTR/Pao	64879	17
RND-4_FAMILY-498#LINE/R1	64254	67
RND-1_FAMILY-362#DNA/TcMar-Tc1	64214	74
RND-1_FAMILY-318#LTR/Gypsy	63552	36
RND-4_FAMILY-1209#LINE/I-Jockey	63508	158
FBTE0000948#LINE/I-Jockey	62411	46
RND-4_FAMILY-618#Unknown	62400	122
RND-1_FAMILY-242#LTR/Gypsy	62195	40
RND-1_FAMILY-144#LTR/Pao	62159	30
RND-4_FAMILY-595#DNA/CMC-Transib	61260	89
RND-4_FAMILY-2775#LTR/Pao	61102	32
RND-4_FAMILY-724#LINE/I-Jockey	61001	68
RND-1_FAMILY-347#LTR/Gypsy	60992	50
RND-4_FAMILY-5111#LINE/R1	60974	41
FBTE0000044#DNA/TcMar-Tc1	60892	84
RND-3_FAMILY-391#LTR/Gypsy	60882	51
RND-4_FAMILY-685#LTR/Pao	60651	85
RND-1_FAMILY-138#DNA/hAT-Charlie	60509	108
RND-4_FAMILY-979#LINE/I	60264	56
RND-1_FAMILY-161#LINE/I	59920	151
RND-4_FAMILY-7353#LTR/Gypsy	59568	23
RND-4_FAMILY-592#LTR/Gypsy	59317	45
RND-1_FAMILY-114#Unknown	59092	84
RND-1_FAMILY-272#LTR/Gypsy	58648	29
RND-1_FAMILY-31#Unknown	58495	177
RND-1_FAMILY-234#Unknown	58370	21
RND-1_FAMILY-266#Unknown	58180	134
RND-4_FAMILY-5285#LINE/I-Jockey	58009	52
RND-1_FAMILY-312#RC/Helitron	57984	148
RND-4_FAMILY-3902#LINE/R1	57763	47
RND-1_FAMILY-158#Unknown	57445	175
RND-1_FAMILY-124#LTR/Gypsy	57239	28
RND-4_FAMILY-1387#RC/Helitron	56968	185
RND-1_FAMILY-223#LTR/Pao	56821	160
RND-4_FAMILY-4150#LTR/Pao	56812	57
RND-1_FAMILY-58#LTR/Gypsy	55202	275
RND-4_FAMILY-1053#LTR/Gypsy	54923	28
RND-1_FAMILY-233#LINE/R1-LOA	54870	39
RND-4_FAMILY-3363#DNA/hAT-Pegasus	54816	121
RND-4_FAMILY-2226#DNA/Academ-1	54686	114
RND-4_FAMILY-12933#LINE/R1	54442	75
RND-1_FAMILY-120#LTR/Gypsy	54167	32
RND-1_FAMILY-11#Satellite	54050	76
RND-1_FAMILY-357#Unknown	54044	172
RND-3_FAMILY-767#Unknown	54027	231
RND-4_FAMILY-5733#Unknown	53874	68
RND-1_FAMILY-194#Unknown	53870	20
RND-3_FAMILY-464#LTR/Gypsy	53519	34
RND-1_FAMILY-24#DNA/PIF-Harbinger	53500	106
RND-1_FAMILY-19#Unknown	53464	93
RND-1_FAMILY-329#LTR/Gypsy	53358	51
RND-4_FAMILY-1#LTR/Pao	53227	56
RND-1_FAMILY-76#Unknown	53170	210
RND-1_FAMILY-98#Unknown	52705	67
RND-4_FAMILY-1926#Unknown	52606	34
RND-1_FAMILY-170#LTR/Gypsy	52486	92
RND-3_FAMILY-181#LTR/Gypsy	52175	40
RND-1_FAMILY-328#Unknown	51548	127
RND-4_FAMILY-721#DNA/hAT-Ac	51529	61
RND-4_FAMILY-504#LINE/I-Jockey	50950	31
RND-3_FAMILY-238#DNA/TcMar-Tc1	50853	74
RND-4_FAMILY-1289#DNA/CMC-Transib	50634	99
RND-1_FAMILY-320#LTR/Gypsy	50440	32
RND-1_FAMILY-267#LTR/Gypsy	50262	51
RND-1_FAMILY-279#Unknown	49922	43
FBTE0001171#LINE/I-Jockey	49777	50
RND-4_FAMILY-3416#Unknown	49761	68
RND-1_FAMILY-355#LTR/Gypsy	49680	64
RND-1_FAMILY-349#LTR/Gypsy	49508	24
RND-1_FAMILY-368#LTR/Gypsy	49485	40
RND-1_FAMILY-36#Unknown	49073	196
FBTE0000640#LTR/Gypsy	49041	78
RND-1_FAMILY-131#Unknown	48945	177
RND-4_FAMILY-2299#LINE/R1-LOA	48795	95
RND-4_FAMILY-6746#Unknown	48539	19
RND-4_FAMILY-5636#LINE/I-Jockey	47986	93
RND-4_FAMILY-1810#Unknown	47972	99
RND-4_FAMILY-3379#LTR/Gypsy	47757	50
RND-4_FAMILY-537#LINE/R1	47654	49
RND-4_FAMILY-186#LTR/Pao	47545	58
RND-1_FAMILY-159#LTR/Gypsy	47274	54
RND-1_FAMILY-207#LTR/Gypsy	47114	81
RND-4_FAMILY-1066#Unknown	46771	152
RND-1_FAMILY-190#LTR/Pao	46527	73
RND-1_FAMILY-269#Unknown	46473	101
RND-1_FAMILY-155#LTR/Pao	45664	39
RND-1_FAMILY-374#LTR/Gypsy	45622	37
RND-1_FAMILY-16#LINE/CR1	45606	12
RND-1_FAMILY-84#LINE/CR1	45575	116
RND-4_FAMILY-1876#DNA/CMC-Transib	45505	63
RND-4_FAMILY-3045#LTR/Gypsy	45339	34
RND-3_FAMILY-100#Unknown	45307	269
RND-4_FAMILY-181#DNA/TcMar-Mariner	45277	126
RND-4_FAMILY-7977#DNA/P	45263	75
RND-1_FAMILY-64#DNA/P	45162	145
RND-4_FAMILY-367#LTR/Gypsy	45030	46
RND-1_FAMILY-387#DNA/hAT-Tip100	45025	69
RND-4_FAMILY-1181#LINE/R1	44886	57
RND-4_FAMILY-7354#LTR/Gypsy	44843	35
RND-4_FAMILY-1864#LINE/I-Jockey	44704	49
RND-1_FAMILY-45#DNA/P	44671	119
RND-1_FAMILY-363#Unknown	44539	79
RND-1_FAMILY-229#LINE/R1-LOA	44065	73
RND-1_FAMILY-286#LINE/CR1	43848	40
RND-1_FAMILY-196#Unknown	43747	65
FBTE0000885#DNA/CMC-Transib	43689	49
RND-4_FAMILY-680#Unknown	43665	68
RND-1_FAMILY-214#LTR/Gypsy	43603	22
RND-4_FAMILY-3923#LTR/Gypsy	43579	32
RND-4_FAMILY-151#LTR/Pao	43373	43
RND-1_FAMILY-389#LTR/Gypsy	43174	39
RND-4_FAMILY-669#LINE/CR1	43013	77
RND-1_FAMILY-107#DNA/hAT-Tip100	42891	178
RND-4_FAMILY-3214#Unknown	42811	60
RND-4_FAMILY-4618#LTR/Gypsy	42682	23
RND-4_FAMILY-734#DNA/hAT-Charlie	42585	40
RND-4_FAMILY-668#DNA/PIF-Harbinger	42430	58
FBTE0000133#LINE/I	42427	62
RND-3_FAMILY-1012#LTR/Gypsy	42401	38
FBTE0000780#LINE/I-Jockey	42020	26
RND-1_FAMILY-399#Unknown	41597	51
RND-4_FAMILY-1056#LINE/R1-LOA	41184	80
RND-4_FAMILY-372#DNA/TcMar-Tc1	41148	70
RND-4_FAMILY-1485#RC/Helitron	41025	69
RND-1_FAMILY-296#LTR/Gypsy	40815	17
RND-3_FAMILY-506#LTR/Gypsy	40711	39
FBTE0000619#LTR/Gypsy	40557	20
RND-1_FAMILY-210#Unknown	40525	149
RND-4_FAMILY-816#LTR/Gypsy	40468	48
RND-1_FAMILY-72#Unknown	40378	229
RND-4_FAMILY-4#LTR/Pao	39989	29
RND-4_FAMILY-1531#LTR/Pao	39941	53
RND-4_FAMILY-1701#Unknown	39733	44
RND-4_FAMILY-2557#DNA/CMC-Transib	39520	75
RND-4_FAMILY-2076#DNA/CMC-EnSpm	39270	62
RND-1_FAMILY-171#LTR/Pao	39247	56
RND-4_FAMILY-1930#Unknown	39165	33
RND-4_FAMILY-66#Unknown	39068	41
RND-1_FAMILY-56#Unknown	38977	74
RND-4_FAMILY-313#Unknown	38692	112
RND-4_FAMILY-4037#LINE/R1	38319	49
RND-3_FAMILY-372#DNA/TcMar-Mariner	38306	45
RND-1_FAMILY-293#LTR/Gypsy	38193	24
RND-4_FAMILY-3195#LTR/Pao	38155	66
RND-1_FAMILY-33#LTR/Pao	38070	125
RND-1_FAMILY-50#Unknown	37944	55
RND-4_FAMILY-373#RC/Helitron	37933	52
RND-4_FAMILY-4788#LTR/Gypsy	37849	27
RND-1_FAMILY-350#DNA/MULE-MuDR	37746	57
RND-1_FAMILY-86#LINE/CR1	37593	78
RND-4_FAMILY-4553#LINE/R1	37547	63
RND-4_FAMILY-7675#LTR/Gypsy	37536	39
RND-4_FAMILY-3521#DNA/PIF-Harbinger	37318	62
RND-3_FAMILY-741#DNA/TcMar-Tc1	37178	48
RND-4_FAMILY-2695#Unknown	37078	51
RND-4_FAMILY-787#LTR/Gypsy	36992	35
RND-1_FAMILY-278#LTR/Gypsy	36861	60
RND-1_FAMILY-282#Unknown	36832	113
RND-4_FAMILY-976#RC/Helitron	36738	95
RND-4_FAMILY-1182#LINE/R1	36725	28
RND-4_FAMILY-2172#DNA/TcMar-Tc1	36643	58
RND-4_FAMILY-1989#Unknown	36619	74
RND-4_FAMILY-585#LTR/Gypsy	36392	25
RND-1_FAMILY-30#Unknown	36103	78
RND-4_FAMILY-4215#DNA/Sola-2	35967	54
RND-4_FAMILY-2274#LINE/RTE-X	35958	52
RND-4_FAMILY-863#DNA/TcMar-Mariner	35806	41
RND-1_FAMILY-130#DNA/P	35746	70
RND-3_FAMILY-789#Unknown	35699	88
RND-1_FAMILY-314#LINE/I-Jockey	35646	34
RND-4_FAMILY-2779#DNA/hAT-Blackjack	35646	57
RND-1_FAMILY-132#Unknown	35353	90
RND-4_FAMILY-1210#LINE/I-Jockey	35164	26
RND-1_FAMILY-47#LINE/L2	34937	25
RND-4_FAMILY-2734#DNA/hAT-hobo	34753	89
RND-1_FAMILY-165#LINE/R1	34739	162
RND-4_FAMILY-1052#LTR/Gypsy	34660	22
RND-1_FAMILY-99#Unknown	34608	56
RND-1_FAMILY-66#Unknown	34488	42
RND-2_FAMILY-19#RC/Helitron	34317	26
RND-4_FAMILY-1750#LTR/Pao	34287	41
RND-1_FAMILY-221#LTR/Pao	34246	10
FBTE0000720#LINE/R1	33796	13
RND-4_FAMILY-2616#Unknown	33677	200
RND-1_FAMILY-52#DNA/hAT-Charlie	33652	91
RND-1_FAMILY-240#Unknown	33622	49
RND-1_FAMILY-77#Unknown	33474	21
RND-1_FAMILY-117#LTR/Pao	33348	74
RND-1_FAMILY-405#LTR/Pao	33281	31
RND-3_FAMILY-1180#Unknown	33270	46
RND-1_FAMILY-213#DNA/CMC-Transib	33228	45
RND-1_FAMILY-271#Unknown	33093	49
RND-4_FAMILY-1443#Unknown	33067	38
RND-1_FAMILY-152#Unknown	33015	98
RND-4_FAMILY-1623#DNA/Academ-1	32785	66
RND-4_FAMILY-2718#DNA/hAT-Pegasus	32412	37
RND-1_FAMILY-298#DNA/CMC-EnSpm	32331	32
FBTE0000242_01#LINE/I	32071	44
RND-3_FAMILY-617#Unknown	31993	37
RND-4_FAMILY-2118#Unknown	31970	52
RND-4_FAMILY-3483#LTR/Gypsy	31911	48
RND-1_FAMILY-174#LTR/Gypsy	31856	20
RND-4_FAMILY-5303#LINE/CR1	31760	53
RND-3_FAMILY-733#DNA/CMC-Chapaev-3	31630	72
RND-4_FAMILY-4403#LTR/Pao	31468	39
RND-1_FAMILY-41#LINE/I	31423	144
RND-4_FAMILY-2893#DNA/TcMar-Tc1	31365	47
RND-1_FAMILY-303#Unknown	31242	118
RND-1_FAMILY-39#Unknown	31146	90
RND-4_FAMILY-4560#Unknown	31117	61
RND-4_FAMILY-7459#LINE/I-Jockey	31033	43
RND-4_FAMILY-782#LTR/Pao	30815	51
RND-4_FAMILY-2880#LTR/Gypsy	30669	19
RND-1_FAMILY-261#Unknown	30631	29
RND-4_FAMILY-1933#Unknown	30584	35
RND-1_FAMILY-315#LINE/R1	30357	47
RND-1_FAMILY-367#LINE/I	30326	26
RND-1_FAMILY-60#Unknown	30052	63
RND-1_FAMILY-247#LTR/Pao	29883	81
RND-4_FAMILY-864#Unknown	29862	92
RND-4_FAMILY-435#Unknown	29796	139
RND-4_FAMILY-1017#DNA/P	29751	49
RND-1_FAMILY-225#Unknown	29749	49
RND-4_FAMILY-254#DNA/TcMar-Tc1	29702	56
RND-4_FAMILY-679#LTR/Pao	29609	29
RND-4_FAMILY-2389#DNA/CMC-Transib	29508	46
RND-1_FAMILY-360#LINE/R1	29497	60
RND-3_FAMILY-219#Unknown	29170	42
RND-1_FAMILY-67#Unknown	28526	41
RND-1_FAMILY-338#Unknown	28405	26
RND-1_FAMILY-343#LTR/Pao	28354	43
RND-4_FAMILY-2297#LTR/Pao	28273	34
RND-4_FAMILY-8117#Unknown	28175	31
RND-3_FAMILY-222#Unknown	28023	157
RND-4_FAMILY-7767#LTR/Gypsy	27987	41
RND-4_FAMILY-2154#DNA/CMC-Transib	27636	44
RND-1_FAMILY-104#Unknown	27626	47
RND-1_FAMILY-119#DNA/hAT-Pegasus	27620	28
RND-4_FAMILY-317#Unknown	27571	87
RND-1_FAMILY-323#LTR/Pao	27361	18
RND-1_FAMILY-245#RC/Helitron	27290	74
RND-1_FAMILY-215#LTR/Gypsy	27212	13
RND-1_FAMILY-189#DNA/TcMar-Tc1	27090	30
RND-1_FAMILY-68#Unknown	26910	106
RND-1_FAMILY-28#LTR/Pao	26892	67
RND-4_FAMILY-2381#DNA/TcMar-Tigger	26890	32
RND-4_FAMILY-2005#LTR/Gypsy	26881	19
RND-4_FAMILY-2359#Unknown	26868	42
RND-1_FAMILY-186#Unknown	26841	83
RND-1_FAMILY-13#LTR/Pao	26816	79
RND-4_FAMILY-2928#RC/Helitron	26765	79
RND-4_FAMILY-1058#LINE/R1	26701	12
RND-4_FAMILY-1212#LINE/I-Jockey	26693	38
RND-4_FAMILY-4284#Unknown	26576	98
RND-4_FAMILY-2037#DNA/TcMar-Tc1	26535	50
RND-4_FAMILY-1225#DNA/TcMar-Tc1	26339	73
RND-1_FAMILY-83#Satellite	26274	18
RND-1_FAMILY-317#DNA/P	26161	42
RND-1_FAMILY-81#Unknown	25783	116
RND-1_FAMILY-371#LINE/CR1	25687	57
RND-3_FAMILY-334#Satellite	25678	108
RND-1_FAMILY-294#Unknown	25484	36
RND-4_FAMILY-1749#LTR/Pao	25300	26
RND-4_FAMILY-1213#LTR/Pao	25042	44
RND-4_FAMILY-5437#Unknown	25020	78
RND-4_FAMILY-797#DNA/CMC-Transib	24963	57
RND-1_FAMILY-6#Unknown	24852	115
RND-4_FAMILY-2825#DNA/CMC-Transib	24809	59
RND-1_FAMILY-359#Unknown	24658	42
RND-4_FAMILY-705#DNA/PIF-Harbinger	24648	53
RND-3_FAMILY-233#LINE/L1	24591	36
RND-4_FAMILY-1392#LINE/CR1	24570	46
RND-4_FAMILY-594#DNA/CMC-Transib	24534	49
RND-4_FAMILY-375#RC/Helitron	24448	77
RND-1_FAMILY-88#Unknown	24408	131
RND-1_FAMILY-369#LTR/Pao	24396	29
RND-4_FAMILY-1567#LTR/Gypsy	24321	7
RND-4_FAMILY-1572#LTR/Gypsy	24318	50
RND-4_FAMILY-2382#DNA/PIF-Harbinger	24223	51
RND-4_FAMILY-1125#Unknown	24214	31
RND-4_FAMILY-2553#DNA/hAT-hobo	24132	44
RND-4_FAMILY-3049#DNA/TcMar-Tc1	24116	42
RND-4_FAMILY-3196#LTR/Gypsy	24079	20
RND-4_FAMILY-83#DNA/hAT-Ac	23950	48
RND-4_FAMILY-1071#Unknown	23936	111
RND-4_FAMILY-982#DNA/TcMar-Tc1	23856	38
RND-1_FAMILY-333#DNA/CMC-Transib	23559	58
RND-1_FAMILY-61#LTR/Pao	23556	17
RND-1_FAMILY-358#DNA/MULE-MuDR	23379	21
RND-3_FAMILY-1#Unknown	23355	118
RND-1_FAMILY-216#DNA/PIF-Harbinger	23087	50
RND-4_FAMILY-1489#DNA/TcMar-Tc1	23004	32
RND-1_FAMILY-206#DNA/TcMar-Tc1	22970	26
RND-1_FAMILY-59#Unknown	22854	79
RND-4_FAMILY-1335#Unknown	22776	114
RND-1_FAMILY-396#LTR/Gypsy	22639	15
RND-1_FAMILY-378#Unknown	22560	56
RND-4_FAMILY-1924#DNA/hAT-Pegasus	22457	63
RND-4_FAMILY-1790#Unknown	22282	84
RND-1_FAMILY-232#LTR/Gypsy	22077	35
RND-1_FAMILY-108#Unknown	21993	86
RND-4_FAMILY-1873#LINE/RTE-X	21919	30
RND-1_FAMILY-268#Unknown	21773	50
RND-4_FAMILY-1163#LINE/CR1	21701	61
RND-3_FAMILY-594#LTR/Pao	21700	15
RND-4_FAMILY-1505#LINE/L1	21646	40
RND-1_FAMILY-316#DNA/CMC-Transib	21546	51
RND-4_FAMILY-2045#DNA/TcMar-Tc1	21517	39
RND-1_FAMILY-57#LINE/R1	21412	35
RND-1_FAMILY-63#Unknown	21410	143
RND-1_FAMILY-388#LINE/R1	21369	15
RND-1_FAMILY-406#Unknown	21183	44
RND-4_FAMILY-656#LINE/R1-LOA	21168	46
RND-4_FAMILY-2043#Unknown	21106	81
RND-1_FAMILY-354#Unknown	20890	59
RND-4_FAMILY-1970#Unknown	20857	60
RND-4_FAMILY-369#LINE/CR1	20736	49
RND-4_FAMILY-371#LTR/Gypsy	20733	30
RND-4_FAMILY-1207#DNA/P	20664	92
RND-4_FAMILY-2165#LTR/Gypsy	20377	42
RND-4_FAMILY-84#DNA/hAT-Ac	20309	47
