subclass	superfamily	family	total_bp	mean_width	min_width	max_width	sd_width	mean_div	min_div	max_div	sd_div
DNA	PIF	RND-1_FAMILY-216	23137	462.74	106	1524	363.87	0.13	0.03	0.34	0.09
DNA	PIF	RND-1_FAMILY-24	53606	505.72	104	1018	308.11	0.05	0.01	0.36	0.06
DNA	PIF	RND-1_FAMILY-40	67878	455.56	107	1083	322.94	0.06	0.01	0.3	0.06
DNA	PIF	RND-1_FAMILY-48	184249	527.93	101	1760	342.83	0.1	0.01	0.37	0.07
DNA	PIF	RND-3_FAMILY-358	98016	810.05	103	2807	764.39	0.13	0.01	0.4	0.09
DNA	PIF	RND-4_FAMILY-2382	24274	475.96	104	1108	320.36	0.1	0.04	0.25	0.04
DNA	PIF	RND-4_FAMILY-241	83106	710.31	103	2627	694.28	0.13	0.01	0.4	0.11
DNA	PIF	RND-4_FAMILY-3521	37380	602.9	109	2427	510.64	0.12	-0	0.32	0.09
DNA	PIF	RND-4_FAMILY-668	42488	732.55	103	2433	629.57	0.1	0.02	0.31	0.08
DNA	PIF	RND-4_FAMILY-705	24701	466.06	103	1605	423.48	0.15	0.04	0.37	0.1
DNA	Sola	RND-4_FAMILY-4215	36021	667.06	101	2979	859.8	0.17	0.01	0.33	0.11
DNA	TcMar	FBTE0000044	60976	725.9	102	1959	618.02	0.13	-0	0.36	0.13
DNA	TcMar	FBTE0000190	170365	400.86	101	1724	427.45	0.11	0	0.35	0.04
DNA	TcMar	RND-1_FAMILY-187	6160	880	119	1673	678.81	0.07	0.01	0.19	0.07
DNA	TcMar	RND-1_FAMILY-189	27120	904	103	1659	538.48	0.11	0.01	0.32	0.11
DNA	TcMar	RND-1_FAMILY-206	22996	884.46	110	1622	609.51	0.21	0.05	0.33	0.07
DNA	TcMar	RND-1_FAMILY-325	10572	587.33	122	1536	498.55	0.11	0.02	0.37	0.12
DNA	TcMar	RND-1_FAMILY-330	11138	428.38	108	1582	353.22	0.23	0.04	0.38	0.11
DNA	TcMar	RND-1_FAMILY-362	64288	868.76	112	1676	664.79	0.08	0	0.24	0.07
DNA	TcMar	RND-1_FAMILY-385	10974	548.7	109	1086	343.76	0.1	0.04	0.22	0.07
DNA	TcMar	RND-1_FAMILY-395	17632	440.8	106	1443	355.45	0.13	0.01	0.33	0.1
DNA	TcMar	RND-1_FAMILY-55	220971	739.03	101	1955	539.58	0.1	-0	0.37	0.07
DNA	TcMar	RND-1_FAMILY-87	82065	1065.78	104	1684	646.53	0.05	0.01	0.35	0.07
DNA	TcMar	RND-1_FAMILY-89	108723	572.23	107	1688	565.07	0.11	0	0.34	0.08
DNA	TcMar	RND-3_FAMILY-238	50927	688.2	109	1672	560.27	0.15	0.01	0.34	0.09
DNA	TcMar	RND-3_FAMILY-372	38351	852.24	124	1298	443.51	0.02	-0	0.04	0.01
DNA	TcMar	RND-3_FAMILY-741	37226	775.54	104	1319	391.52	0.07	0.01	0.23	0.05
DNA	TcMar	RND-4_FAMILY-1225	26412	361.81	102	2150	385.32	0.13	0.01	0.3	0.07
DNA	TcMar	RND-4_FAMILY-1489	23036	719.88	101	1666	501.73	0.12	0	0.34	0.11
DNA	TcMar	RND-4_FAMILY-1492	86947	783.31	104	1663	497.21	0.09	0.01	0.23	0.05
DNA	TcMar	RND-4_FAMILY-1522	14642	187.72	104	476	88.04	0.19	0.1	0.28	0.04
DNA	TcMar	RND-4_FAMILY-181	45403	360.34	101	1873	265.78	0.07	0.02	0.19	0.04
DNA	TcMar	RND-4_FAMILY-2031	14050	585.42	125	1755	511.55	0.08	0.02	0.2	0.06
DNA	TcMar	RND-4_FAMILY-2037	26585	531.7	105	1623	514.24	0.19	0	0.36	0.12
DNA	TcMar	RND-4_FAMILY-2044	15172	606.88	118	1630	525.54	0.19	0.01	0.36	0.15
DNA	TcMar	RND-4_FAMILY-2045	21556	552.72	110	1669	416.23	0.09	0	0.16	0.04
DNA	TcMar	RND-4_FAMILY-2172	36701	632.78	105	1652	430.44	0.07	0	0.24	0.06
DNA	TcMar	RND-4_FAMILY-2381	26922	841.31	103	2397	911.44	0.16	-0	0.35	0.13
DNA	TcMar	RND-4_FAMILY-254	29758	531.39	114	1593	399.85	0.13	0.02	0.27	0.08
DNA	TcMar	RND-4_FAMILY-2893	31412	668.34	156	1734	476.02	0.19	0.01	0.3	0.1
DNA	TcMar	RND-4_FAMILY-3049	24158	575.19	119	1674	522.05	0.09	0.01	0.18	0.04
DNA	TcMar	RND-4_FAMILY-372	41218	588.83	102	1605	524.58	0.13	-0	0.34	0.1
DNA	TcMar	RND-4_FAMILY-5393	137982	306.63	101	1570	227.62	0.11	-0	0.35	0.06
DNA	TcMar	RND-4_FAMILY-580	12939	369.69	102	1292	343	0.24	0	0.38	0.12
DNA	TcMar	RND-4_FAMILY-737	13346	278.04	108	686	156.59	0.17	0.06	0.3	0.05
DNA	TcMar	RND-4_FAMILY-75	112329	508.28	101	1655	427.8	0.11	0.02	0.35	0.08
DNA	TcMar	RND-4_FAMILY-863	35847	874.32	124	1336	420.58	0.03	0.01	0.31	0.05
DNA	TcMar	RND-4_FAMILY-982	23894	628.79	126	1647	429.09	0.16	0.01	0.36	0.12
DNA	hAT	RND-1_FAMILY-107	43069	241.96	104	319	41.4	0.01	-0	0.04	0.01
DNA	hAT	RND-1_FAMILY-119	27648	987.43	106	2470	805.6	0.04	0	0.26	0.06
DNA	hAT	RND-1_FAMILY-121	2312	330.29	118	1097	373.02	0.16	0	0.27	0.1
DNA	hAT	RND-1_FAMILY-138	60617	561.27	102	907	331.38	0.06	-0	0.27	0.07
DNA	hAT	RND-1_FAMILY-188	2097	209.7	103	536	141.44	0.1	0	0.21	0.08
DNA	hAT	RND-1_FAMILY-252	13471	673.55	101	3713	1080.79	0.1	0.01	0.27	0.09
DNA	hAT	RND-1_FAMILY-292	15679	522.63	106	2155	515.66	0.2	0.03	0.41	0.12
DNA	hAT	RND-1_FAMILY-387	45094	653.54	101	2050	622.52	0.11	0.01	0.28	0.11
DNA	hAT	RND-1_FAMILY-391	16766	322.42	103	1588	290.15	0.09	0	0.31	0.08
DNA	hAT	RND-1_FAMILY-52	33743	370.8	106	912	213.8	0.08	0.01	0.28	0.06
DNA	hAT	RND-4_FAMILY-1924	22520	357.46	102	2517	493.12	0.14	-0	0.33	0.09
DNA	hAT	RND-4_FAMILY-2553	24176	549.45	113	1975	489.4	0.23	0.02	0.33	0.09
DNA	hAT	RND-4_FAMILY-2718	32449	877	107	3609	999.19	0.08	-0	0.33	0.07
DNA	hAT	RND-4_FAMILY-2734	34842	391.48	101	869	224.16	0.09	0.02	0.36	0.07
DNA	hAT	RND-4_FAMILY-2779	35703	626.37	101	1992	544.63	0.22	0.01	0.39	0.11
DNA	hAT	RND-4_FAMILY-3363	54937	454.02	102	3721	624.6	0.14	0.01	0.3	0.08
DNA	hAT	RND-4_FAMILY-3771	5938	296.9	119	426	102.92	0.25	0.13	0.38	0.06
DNA	hAT	RND-4_FAMILY-54	9327	179.37	101	545	95.89	0.16	0.06	0.26	0.04
DNA	hAT	RND-4_FAMILY-721	51590	845.74	106	5409	802.83	0.18	0.02	0.35	0.11
DNA	hAT	RND-4_FAMILY-734	42625	1065.62	114	3878	1012.26	0.08	-0	0.2	0.06
DNA	hAT	RND-4_FAMILY-83	23998	499.96	102	2418	507.17	0.2	0.01	0.44	0.13
DNA	hAT	RND-4_FAMILY-84	20356	433.11	107	2072	394.35	0.18	0.01	0.42	0.12
LINE	CR1	FBTE0000140	3185686	1407.11	101	6303	1333.22	0.11	-0	0.34	0.07
LINE	CR1	FBTE0000599	606875	1351.61	101	4980	1226.04	0.07	0.01	0.38	0.07
LINE	CR1	RND-1_FAMILY-134	311020	1594.97	104	4475	1362.28	0.11	0.01	0.38	0.1
LINE	CR1	RND-1_FAMILY-16	45618	3801.5	200	4745	1654.31	0.01	0	0.09	0.03
LINE	CR1	RND-1_FAMILY-168	12262	3065.5	2058	4755	1258.4	0.02	0.01	0.03	0.01
LINE	CR1	RND-1_FAMILY-208	212684	625.54	101	1852	412.47	0.09	-0	0.33	0.07
LINE	CR1	RND-1_FAMILY-238	681005	1244.98	101	4946	1086.51	0.08	0.01	0.32	0.06
LINE	CR1	RND-1_FAMILY-286	43888	1097.2	102	4700	1289.31	0.11	-0	0.29	0.11
LINE	CR1	RND-1_FAMILY-332	85901	309	101	7075	755.13	0.15	0	0.29	0.06
LINE	CR1	RND-1_FAMILY-371	25744	451.65	101	6136	907.77	0.12	0	0.3	0.07
LINE	CR1	RND-1_FAMILY-379	201	201	201	201	NA	0.25	0.25	0.25	NA
LINE	CR1	RND-1_FAMILY-413	73027	424.58	101	5904	761.72	0.14	0	0.29	0.07
LINE	CR1	RND-1_FAMILY-42	15231	725.29	121	4898	1062.64	0.11	0	0.26	0.09
LINE	CR1	RND-1_FAMILY-54	12589	4196.33	3791	4428	352.22	0.02	0.02	0.02	0
LINE	CR1	RND-1_FAMILY-80	82686	1401.46	110	4956	1385.2	0.06	-0	0.25	0.06
LINE	CR1	RND-1_FAMILY-84	45691	393.89	101	1484	268.69	0.23	0.01	0.41	0.1
LINE	CR1	RND-1_FAMILY-86	37671	482.96	115	2084	440.04	0.11	0.01	0.29	0.08
LINE	CR1	RND-4_FAMILY-1163	21762	356.75	102	1007	257.58	0.12	0.01	0.26	0.06
LINE	CR1	RND-4_FAMILY-1392	24616	535.13	103	5083	1200.08	0.15	0	0.39	0.1
LINE	CR1	RND-4_FAMILY-369	20785	424.18	102	1556	406.54	0.17	0	0.33	0.07
LINE	CR1	RND-4_FAMILY-5303	31813	600.25	134	1491	387.08	0.16	-0	0.37	0.13
LINE	CR1	RND-4_FAMILY-547	774	154.8	113	223	51.73	0.17	0.1	0.28	0.07
LINE	CR1	RND-4_FAMILY-669	43090	559.61	102	3694	487.89	0.09	0.01	0.26	0.06
LINE	CR1	RND-4_FAMILY-78	364775	1211.88	101	4996	1290.55	0.08	-0	0.31	0.07
LINE	CR1	RND-4_FAMILY-859	141	141	141	141	NA	0.05	0.05	0.05	NA
LINE	CR1	RND-4_FAMILY-9452	159240	1179.56	101	21279	2371.27	0.11	-0	0.34	0.07
LINE	I	FBTE0000133	42489	685.31	106	2487	659.98	0.14	-0	0.34	0.09
LINE	I	FBTE0000242_01	32115	729.89	110	3388	691.48	0.14	0.01	0.38	0.12
LINE	I	FBTE0000780	42046	1617.15	102	3835	1442.98	0.1	0	0.34	0.13
LINE	I	FBTE0000948	62457	1357.76	118	5234	1481.46	0.1	0	0.27	0.07
LINE	I	FBTE0001171	49827	996.54	103	2907	785.32	0.07	0.01	0.41	0.12
LINE	I	RND-1_FAMILY-161	60071	397.82	101	12406	1301.7	0.15	0	0.32	0.08
LINE	I	RND-1_FAMILY-222	237556	1277.18	120	5406	1235.45	0.13	-0	0.37	0.11
LINE	I	RND-1_FAMILY-237	117812	2222.87	133	10364	2686.14	0.12	-0	0.31	0.09
LINE	I	RND-1_FAMILY-243	17837	165.16	101	311	49.9	0.13	0.01	0.29	0.07
LINE	I	RND-1_FAMILY-308	16916	1127.73	196	3833	931.96	0.26	0	0.34	0.08
LINE	I	RND-1_FAMILY-314	35680	1049.41	112	9167	2135.7	0.23	-0	0.4	0.13
LINE	I	RND-1_FAMILY-353	9865	193.43	102	547	87.95	0.16	0.04	0.29	0.07
LINE	I	RND-1_FAMILY-365	104149	602.02	102	7079	1294.2	0.13	0.04	0.42	0.06
LINE	I	RND-1_FAMILY-367	30352	1167.38	129	5222	1254.84	0.1	0	0.31	0.09
LINE	I	RND-1_FAMILY-404	91714	890.43	101	5338	1164.79	0.12	0	0.38	0.09
LINE	I	RND-1_FAMILY-41	31567	219.22	102	737	135.79	0.16	0.01	0.33	0.07
LINE	I	RND-4_FAMILY-1209	63666	402.95	101	2588	471.05	0.08	-0	0.29	0.07
LINE	I	RND-4_FAMILY-1210	35190	1353.46	110	5049	1279.96	0.06	0.01	0.18	0.05
LINE	I	RND-4_FAMILY-1211	6024	669.33	101	2283	707.77	0.08	0	0.22	0.09
LINE	I	RND-4_FAMILY-1212	26731	703.45	121	2523	679.62	0.07	0.01	0.31	0.07
LINE	I	RND-4_FAMILY-1864	44753	913.33	103	3094	735.95	0.18	0.02	0.4	0.11
LINE	I	RND-4_FAMILY-3032	14795	493.17	107	1356	371.96	0.23	0.12	0.35	0.07
LINE	I	RND-4_FAMILY-504	50981	1644.55	129	4563	1556.82	0.04	0	0.33	0.06
LINE	I	RND-4_FAMILY-5285	58061	1116.56	105	5481	1430.03	0.14	0.01	0.4	0.12
LINE	I	RND-4_FAMILY-5636	48079	516.98	101	2021	432.42	0.17	0.01	0.41	0.11
LINE	I	RND-4_FAMILY-724	61069	898.07	101	3182	856.66	0.16	0.03	0.46	0.14
LINE	I	RND-4_FAMILY-7459	31076	722.7	103	2956	711.24	0.07	0.01	0.21	0.06
LINE	I	RND-4_FAMILY-979	60320	1077.14	106	4422	953.57	0.15	0.01	0.34	0.13
LINE	L1	RND-1_FAMILY-322	6652	229.38	111	447	102.1	0.14	0.05	0.34	0.06
LINE	L1	RND-3_FAMILY-233	24627	684.08	104	3453	883.16	0.12	0.01	0.44	0.11
LINE	L1	RND-4_FAMILY-1505	21686	542.15	107	3048	562.94	0.12	0.01	0.24	0.07
LINE	L2	RND-1_FAMILY-262	67557	1608.5	104	4684	1849.37	0.1	-0	0.38	0.1
LINE	L2	RND-1_FAMILY-304	18323	1832.3	212	4646	1546.99	0.04	0.01	0.1	0.03
LINE	L2	RND-1_FAMILY-331	250882	987.72	104	4697	1144.94	0.13	0	0.4	0.11
LINE	L2	RND-1_FAMILY-47	34962	1398.48	138	3913	1157.57	0.05	0	0.17	0.04
LINE	L2	RND-4_FAMILY-1620	332	166	145	187	29.7	0.14	0.1	0.19	0.07
LINE	R1	FBTE0000039_01	1251851	1956.02	105	7868	1769.33	0.1	0	0.37	0.08
LINE	R1	FBTE0000118	5550	426.92	146	1096	317.02	0.14	0.07	0.33	0.08
LINE	R1	FBTE0000176	1566038	1765.54	101	9008	1697.43	0.11	-0	0.32	0.08
LINE	R1	FBTE0000720	33809	2600.69	109	26548	7221.85	0.16	0.01	0.36	0.11
LINE	R1	FBTE0001036	7708	700.73	106	3017	937.76	0.14	0.01	0.25	0.08
LINE	R1	FBTE0001482	69669	1180.83	107	5858	1499.77	0.1	0.01	0.29	0.08
LINE	R1	RND-1_FAMILY-115	13046	237.2	104	1118	208.75	0.09	0.01	0.19	0.05
LINE	R1	RND-1_FAMILY-126	10331	939.18	122	3032	843.59	0.07	0.02	0.28	0.07
LINE	R1	RND-1_FAMILY-139	84108	339.15	101	1611	306.46	0.07	0.01	0.22	0.05
LINE	R1	RND-1_FAMILY-149	218951	2065.58	151	5357	1815.87	0.07	0	0.34	0.06
LINE	R1	RND-1_FAMILY-163	538662	1479.84	106	7753	1441.1	0.11	0	0.34	0.07
LINE	R1	RND-1_FAMILY-165	34901	215.44	101	731	131.48	0.08	0.01	0.31	0.07
LINE	R1	RND-1_FAMILY-17	961159	1426.05	102	5400	1371.61	0.12	-0	0.35	0.08
LINE	R1	RND-1_FAMILY-229	44138	604.63	102	11139	1551.03	0.17	0	0.35	0.08
LINE	R1	RND-1_FAMILY-233	54909	1407.92	102	21880	3696.04	0.14	0.01	0.29	0.09
LINE	R1	RND-1_FAMILY-249	159171	776.44	104	5352	874.82	0.14	0.01	0.34	0.07
LINE	R1	RND-1_FAMILY-25	17665	1766.5	267	5334	1414.4	0.04	0.03	0.12	0.03
LINE	R1	RND-1_FAMILY-258	11275	704.69	127	2685	657.21	0.04	0.02	0.13	0.03
LINE	R1	RND-1_FAMILY-270	1239	137.67	102	306	64.53	0.2	0.12	0.29	0.06
LINE	R1	RND-1_FAMILY-315	30404	646.89	114	3172	547.07	0.04	0.01	0.18	0.03
LINE	R1	RND-1_FAMILY-360	29557	492.62	101	2078	399.17	0.06	0.01	0.27	0.06
LINE	R1	RND-1_FAMILY-388	21384	1425.6	252	3866	1064.98	0.07	0	0.32	0.09
LINE	R1	RND-1_FAMILY-49	181867	1237.19	103	5374	1515.56	0.12	0.01	0.3	0.07
LINE	R1	RND-1_FAMILY-53	184711	1726.27	122	5312	1677.5	0.08	0	0.29	0.07
LINE	R1	RND-1_FAMILY-57	21447	612.77	101	3438	701.59	0.06	0.01	0.28	0.06
LINE	R1	RND-3_FAMILY-993	18898	629.93	104	1673	460.93	0.18	0.03	0.43	0.13
LINE	R1	RND-4_FAMILY-1056	41264	515.8	102	2855	620.79	0.21	0	0.4	0.09
LINE	R1	RND-4_FAMILY-1058	26713	2226.08	167	4991	1709.4	0.09	0	0.32	0.13
LINE	R1	RND-4_FAMILY-1169	13268	698.32	110	3431	1207.47	0.18	0	0.29	0.09
LINE	R1	RND-4_FAMILY-1181	44943	788.47	124	3400	803.86	0.2	0	0.42	0.13
LINE	R1	RND-4_FAMILY-1182	36753	1312.61	115	4529	1401.16	0.18	0	0.35	0.14
LINE	R1	RND-4_FAMILY-12933	54517	726.89	101	27054	3226.69	0.12	0.01	0.25	0.07
LINE	R1	RND-4_FAMILY-1352	7341	917.62	169	5738	1948.21	0.1	-0	0.32	0.11
LINE	R1	RND-4_FAMILY-1686	5585	279.25	116	620	149.07	0.19	0.12	0.27	0.04
LINE	R1	RND-4_FAMILY-2299	48890	514.63	106	2123	400.68	0.12	0.01	0.29	0.07
LINE	R1	RND-4_FAMILY-389	11040	356.13	110	774	187.57	0.19	0.11	0.32	0.05
LINE	R1	RND-4_FAMILY-3902	57810	1230	116	4232	1090.84	0.13	0.03	0.34	0.1
LINE	R1	RND-4_FAMILY-4037	38368	783.02	110	2675	682.39	0.14	0.01	0.39	0.12
LINE	R1	RND-4_FAMILY-4509	70585	476.93	101	4700	835.5	0.12	0	0.33	0.08
LINE	R1	RND-4_FAMILY-455	13841	446.48	117	1579	389.69	0.05	0.02	0.14	0.03
LINE	R1	RND-4_FAMILY-4553	37610	596.98	101	3673	579.95	0.14	0.01	0.47	0.1
LINE	R1	RND-4_FAMILY-498	64321	960.01	110	3973	956.73	0.15	0.01	0.34	0.12
LINE	R1	RND-4_FAMILY-5111	61015	1488.17	112	4906	1514.8	0.18	0.01	0.38	0.1
LINE	R1	RND-4_FAMILY-537	47703	973.53	109	8145	1452.83	0.17	0.01	0.34	0.1
LINE	R1	RND-4_FAMILY-553	5739	179.34	103	311	59.22	0.2	0.12	0.31	0.04
LINE	R1	RND-4_FAMILY-656	21214	461.17	111	1559	361.49	0.2	0.08	0.31	0.05
LINE	R1	RND-4_FAMILY-676	10205	425.21	113	1223	254.79	0.2	0.12	0.29	0.05
LINE	R1	RND-4_FAMILY-677	18754	416.76	132	1312	240.9	0.18	0.1	0.3	0.04
LINE	R1	RND-4_FAMILY-717	15895	481.67	166	1185	293.59	0.15	0.09	0.3	0.05
LINE	R1	RND-4_FAMILY-729	9249	220.21	107	608	117.92	0.14	0.06	0.3	0.05
LINE	R1	RND-4_FAMILY-735	87120	907.5	102	4412	881.4	0.18	0	0.37	0.11
LINE	R1	RND-4_FAMILY-749	13050	466.07	113	1715	373.52	0.12	0.06	0.25	0.04
LINE	RTE	RND-4_FAMILY-1873	21949	731.63	101	2085	584.5	0.13	0.03	0.24	0.06
LINE	RTE	RND-4_FAMILY-2274	36010	692.5	107	2242	499.14	0.1	0.05	0.18	0.03
LTR	Copia	FBTE0000003	145614	1137.61	101	4526	1417.72	0.19	-0	0.45	0.14
LTR	Copia	RND-4_FAMILY-3867	74253	1325.95	102	4596	1560.74	0.15	-0	0.34	0.1
LTR	Gypsy	FBTE0000010_01	79437	1260.9	110	5595	1638.78	0.09	-0	0.32	0.09
LTR	Gypsy	FBTE0000021	228653	3517.74	104	11389	3185.81	0.08	-0	0.37	0.11
LTR	Gypsy	FBTE0000021_01	209652	3129.13	101	14383	3144.49	0.06	0	0.33	0.1
LTR	Gypsy	FBTE0000042	208900	2153.61	118	40976	4443.62	0.11	0	0.36	0.11
LTR	Gypsy	FBTE0000357	204509	1859.17	105	9734	2111.49	0.08	0	0.35	0.08
LTR	Gypsy	FBTE0000357_01	73640	2165.88	108	5503	2036.34	0.11	-0	0.35	0.14
LTR	Gypsy	FBTE0000472	163622	1588.56	101	7729	1949.18	0.07	0.01	0.36	0.09
LTR	Gypsy	FBTE0000587	277683	1814.92	106	10819	2278.13	0.11	0.01	0.35	0.08
LTR	Gypsy	FBTE0000588	187992	2473.58	108	10928	3478.44	0.11	-0	0.27	0.08
LTR	Gypsy	FBTE0000588_01	516338	702.5	101	11690	1751.88	0.16	-0	0.4	0.06
